jobTitle,position,description,skills,location,jobId,status,priority,priceType,workType,jobType,combined_text
Angular Developer,AngularDeveloper,"Work with other team members.
Design and implement visually aesthetic user interfaces.
Identify issues with front end code and rectify them to remove bugs.
Create unit tests to ensure code is functioning as expected.
Create well written documentation.
Ensure front end code is able to query APIs.
Audit code to identify bottlenecks of performance and fixing them.
Should have  the technical ability to implement user interfaces using JavaScript and the Angular framework. 
Should  know the best practices and modern ways of creating interfaces and ensure the interface is able to interact with backend APIs. 
Should also need to have great communication and collaboration skills as you will need to interact with fellow frontend and backend developers regularly to ensure components can be integrated together.
Skills Angular framework and JavaScript.UX/UI.
",{Angular},{hyderabad},JDAD4411,Active,High,INR,Work from Home,Permanent,work team member design implement visually aesthetic user interface identify issue front end code rectify remove bug create unit test ensure code functioning expected create well written documentation ensure front end code able query apis audit code identify bottleneck performance fixing technical ability implement user interface using javascript angular framework know best practice modern way creating interface ensure interface able interact backend apis also need great communication collaboration skill need interact fellow frontend backend developer regularly ensure component integrated together skill angular framework angular
Application DeveloperLinux in versant,ApplicationDeveloperOpensource,Should have exp in C++ Development in Linux and in Versant,"{Linux,C++}",{ChennaiBangalorePune},JDAD5758,Active,High,INR,Work from Office,Permanent,exp development linux versant linux
Angular Developer,Developemnt,"Designing, coding, testing, and deploying the application. Debugging issues in the application code to ensure it is working correctly. Integrating third-party libraries with the codebase to extend its functionality. Communicating with other team members on any pending tasks or changes in the project.   Ensuring that all code complies with best practices and standards set by the company or organization they work for.",{Angular},{Hyderabad},JDAD5888,Active,Medium,INR,Work from Office,Permanent,designing coding testing deploying application debugging issue application code ensure working correctly integrating library codebase extend functionality communicating team member pending task change project ensuring code complies best practice standard set company organization work angular
Application DeveloperLinuxMySQL,ApplicationDeveloperOpensource,Should have exp in C++ Development in Linux with MYSQL,"{C++,MySQL}",{ChennaiBangalorePune},JDAD6533,Active,High,INR,Work from Office,Permanent,exp development linux mysql mysql
Angular Developer,AngularDeveloper,"Work with other team members.
Design and implement visually aesthetic user interfaces.
Identify issues with front end code and rectify them to remove bugs.
Create unit tests to ensure code is functioning as expected.
Create well written documentation.
Ensure front end code is able to query APIs.
Audit code to identify bottlenecks of performance and fixing them.
Should have  the technical ability to implement user interfaces using JavaScript and the Angular framework. 
Should  know the best practices and modern ways of creating interfaces and ensure the interface is able to interact with backend APIs. 
Should also need to have great communication and collaboration skills as you will need to interact with fellow frontend and backend developers regularly to ensure components can be integrated together.
Skills Angular framework and JavaScript.UX/UI.
",{Angular},{hyderabad},JDAD8163,Active,High,INR,Work from Home,Permanent,work team member design implement visually aesthetic user interface identify issue front end code rectify remove bug create unit test ensure code functioning expected create well written documentation ensure front end code able query apis audit code identify bottleneck performance fixing technical ability implement user interface using javascript angular framework know best practice modern way creating interface ensure interface able interact backend apis also need great communication collaboration skill need interact fellow frontend backend developer regularly ensure component integrated together skill angular framework angular
Application Developer OraclePL/SQL,ApplicationDeveloperOpensource,"
Should have exp in C,Pro C development,Oracle PL/SQL
",{C++},{BangaloreChennaiPune},JDAD8170,Active,High,INR,Work from Office,Permanent,exp c pro c development oracle 
Application DeveloperLinux,ApplicationDeveloperOpensource,Should have exp in C++ Development in Linux platform,"{C++,Linux}",{ChennaiBangalorePune},JDAD8316,Active,High,INR,Work from Office,Permanent,exp development linux platform linux
Azure Devops Engineer,Developemnt,Implementing DevOps Development Processes  ·       Design a version control strategy  ·       Integrate source control  ·       Manage build infrastructure  ·       Implement code flow  ·       Implement a mobile DevOps strategy  ·       Managing application configuration and secrets  Implementing Continuous Integration  ·       Manage code quality and security policies  ·       Implement a container build strategy  ·       Implement a build strategy  Implementing Continuous Delivery  ·       Design a release strategy  ·       Set up a release management workflow  ·       Implement an appropriate deployment pattern  Implementing Dependency Management  ·       Design a dependency management strategy  ·       Manage security and compliance  Implementing Application Infrastructure  Design an infrastructure and configuration management strategy Implement infrastructure compliance and security Implementing Continuous Feedback  Recommend and design system feedback mechanisms Implement ,"{Azure,Devops,Docker,kubernetes}",{Hyderabad},JDAD8552,Active,Medium,INR,Hybrid,Permanent,implementing devops development process design version control strategy integrate source control manage build infrastructure implement code flow implement mobile devops strategy managing application configuration secret implementing continuous integration manage code quality security policy implement container build strategy implement build strategy implementing continuous delivery design release strategy set release management workflow implement appropriate deployment pattern implementing dependency management design dependency management strategy manage security compliance implementing application infrastructure design infrastructure configuration management strategy implement infrastructure compliance security implementing continuous feedback recommend design system feedback mechanism implement azure devops docker kubernetes
Application Developer UNIX PLSQL,ApplicationDeveloperOpensource,"Should have exp in Oracle ,Pl/sql,Unix Shell Scripting
Should have max 5 to 6 yrs experience (7B band)
Should have strong linux base OS 
Should have strong database exp with Oracle with wrkng knowledge of SQL","{PL/SQL,Oracle,Linux,""Shell scripting""}",{ChennaiBangalorePune},JDAD8606,inActive,High,INR,Work from Office,Permanent,exp oracle unix shell scripting max yr experience band strong linux base o strong database exp oracle wrkng knowledge sql oracle linux shell scripting
Azure Analysis Engineer,Azure Analysis Engineer,"Job Description:

Azure Analysis Services Developer :

3.5+ to 6 Years

G4

Bang/Chennai/Pune/Mumbai

Immediate candidate only

3+ years of experience in developing tabular models in Azure Analysis Service
2+ Years of experience in Azure SQL Database
Having prior experience of building multi-dimensional model on SSAS shall be advantageous
Good T-SQL knowledge and experience
Good experience in writing DAX Queries
Experience in building hierarchies, measures in a tabular model using DAX query
 ","{""Azure Analysis""}","{""Bangalore, Chennai, Pune, Mumbai""}",JDAE2298,Active,High,INR,Work from Office,Permanent,job description azure analysis service developer year immediate candidate year experience developing tabular model azure analysis service year experience azure sql database prior experience building model ssa shall advantageous good knowledge experience good experience writing dax query experience building hierarchy measure tabular model using dax query azure analysis
AI Engineer,AIMLEngineer,"Designing machine learning systems and self-running
artificial intelligence (AI) software to automate predictive
models.
 Transforming data science prototypes and applying
appropriate ML algorithms and tools.
 Ensuring that algorithms generate accurate user
recommendations.
 Turning unstructured data into useful information by auto-
tagging images and text-to-speech conversions.
 Solving complex problems with multi-layered data sets, as
well as optimizing existing machine learning libraries and
frameworks.
 Developing ML algorithms to analyse huge volumes of
historical data to make predictions.
 Running tests, performing statistical analysis, and
interpreting test results.
Advanced proficiency with Python.
 Extensive knowledge of ML frameworks, libraries, data
structures, data modelling, and software architecture.
 In-depth knowledge of mathematics, statistics, and
algorithms.
 Superb analytical and problem-solving abilities.
 Great communication and collaboration skills.
 ","{python,""Data modelling"",AI,Statistics,""Data Structures""}",{Hyderabad},JDAE7377,Active,High,INR,Work from Home,Permanent,designing machine learning system artificial intelligence ai software automate predictive model transforming data science prototype applying appropriate ml algorithm tool ensuring algorithm generate accurate user recommendation turning unstructured data useful information tagging image conversion solving complex problem data set well optimizing existing machine learning library framework developing ml algorithm analyse huge volume historical data make prediction running test performing statistical analysis interpreting test result advanced proficiency python extensive knowledge ml framework library data structure data modelling software architecture knowledge mathematics statistic algorithm superb analytical ability great communication collaboration skill python data modelling ai statistic data structure
Aggregation Engineer,Aggregation Engineer,"Bachelor’s or Master’s degree in Computer Science or Engineering, 3-4 (Only In Between Not more than or Less ) years hands on Experience in Java Experience in frameworks like Spring, Hibernate; Experience in Web App technologies (HTML, CSS, JavaScript, jQuery) Competence in Linux platform; Having knowledge of Xpath, regex Familiarity in Maven, Git Familiarity of Continuous Integration tools (Jenkins etc) Familiarity in Unit Testing (Junit) Familiarity in Selenium","{""Java Developer"",Spring,Hibernate,""Unit Testing""}",{Bangalore},JDAE8888,Active,Medium,INR,Work from Office,Permanent,bachelor master degree computer science engineering le year hand experience java experience framework like spring hibernate experience web app technology html cs javascript jquery competence linux platform knowledge xpath regex familiarity maven git familiarity continuous integration tool jenkins etc familiarity unit testing junit familiarity selenium java developer spring hibernate unit testing
Accounting Fresher,Accounting Fresher,Looking for accounting fresher,"{Accounting,""react js""}",{Bangalore},JDAF2267,closed,High,INR,Work from Office,Permanent,looking accounting fresher accounting react j
Mean Stack Developer,Development,"1. Good communication skills  2. Hands-on experience in Nodejs12+, Angular9+, AWS RDS Postgresql.   ","{Angular,Node.js,AWS,Mongodb}",{Remote},JDAF4503,Active,Medium,INR,Work from Home,Permanent,good communication skill experience aws rds postgresql angular aws mongodb
Atlassian Jira Developer,development,hdsyg,"{Java,JIRA}",{Pune},JDAJ4382,Active,Medium,INR,Work from Office,Permanent,hdsyg java jira
Assistant manager -solution delivery,Management,"Strong customer service and solution implementation background with minimum of 2 -3 years of experience in handling Corporate / Enterprise Clients.
Should have working knowledge of Supply Chain processes and requirement & In-depth knowledge of Cost & Efficiency drivers in Supply chain Logistics, Warehousing. , to ensure solution design accordingly.
Excellent & Honed working knowledge of Microsoft Power-point and Microsoft Excel, Flow Chart Tools like Draw IO etc.,
Self-starter with internal drive to bring projects to closure
Necessary to have knowledge of Service Delivery concepts like SDLC, ITIL.
Have good comprehension and detailing skills for the customer requirements, understand the products, and alignment of both.
Excellent communication skills with an ability to impress upon clients..
Ability to analyse the business requirements of the client, analyses the gap between solution and requirement, discuss with development team and arrive at bridge plan.
Interpersonal skills with Customer & internal teams
Should have capability and mindset to function in an Start-up Environment.
Outgoing and convincing capabilities

Key Focus Areas:
Ability to understand the workflows of Supply Chain & Logistics Processes.
Account Management of Key customers and regular visits to them.
Good Time Management Skills.
Regular Feedback to product team on the new requirements of customers.
Problem Solving and good analytical skills
Experience and Qualifications:
Should be a Graduate with at least 2 -3 years of Solution Implementation Experience.
Preferably worked in Supply chain solutioning or internal Automation projects.
Should have Project Management skill sets.
Should have fair understanding and knowledge of Logistics flows.","{""customer service"",logistics,""supply chain"",""SAP Supply Chain Management SAPSCM""}",{Mumbai},JDAM5355,Active,Medium,INR,Work from Home,Permanent,strong customer service solution implementation background minimum year experience handling corporate enterprise client working knowledge supply chain process requirement knowledge cost efficiency driver supply chain logistics warehousing ensure solution design accordingly excellent honed working knowledge microsoft microsoft excel flow chart tool like draw io internal drive bring project closure necessary knowledge service delivery concept like sdlc itil good comprehension detailing skill customer requirement understand product alignment excellent communication skill ability impress upon client ability analyse business requirement client analysis gap solution requirement discus development team arrive bridge plan interpersonal skill customer internal team capability mindset function environment outgoing convincing capability key focus area ability understand workflow supply chain logistics process account management key customer regular visit good time management skill regular feedback product team new requirement customer problem solving good analytical skill experience qualification graduate least year solution implementation experience preferably worked supply chain solutioning internal automation project project management skill set fair understanding knowledge logistics flow customer service logistics supply chain sap supply chain management sapscm
Account Manager,Account Manager,"JOB DESCRIPTION · Identifying and cultivating new business opportunities · Building and maintaining relationships with clients and partners · Collaborating with cross-functional teams such as and technical teams to drive sales · Selling Exposure on AWS/ Azure/ Oracle Cloud / IBM · Preferred Any infra selling on cloud · Software maintaining on cloud understanding · Certification on cloud makes relevant with Infra experience SPECIFIC SKILL SETS REQUIRED · Proven sales experience with a track record of exceeding goals · Experience selling cloud-based products or services · Strong understanding of cloud technology and its applications · Excellent communication and negotiation skills · Ability to work in a fast-paced and dynamic environment · Strong analytical and problem-solving skills · Comfortable working with and presenting to C-level executives · Bachelor's degree in a related field, and a relevant certification would be considered a plus","{aws,azure,""IBM cloud"",GCP,""any cloud sales""}",{Bengaluru},JDAM6271,Active,High,INR,Work from Office,Permanent,job description identifying cultivating new business opportunity building maintaining relationship client partner collaborating team technical team drive sale selling exposure oracle cloud ibm preferred infra selling cloud software maintaining cloud understanding certification cloud make relevant infra experience specific skill set required proven sale experience track record exceeding goal experience selling product service strong understanding cloud technology application excellent communication negotiation skill ability work dynamic environment strong analytical skill comfortable working presenting executive bachelor degree related field relevant certification would considered plus aws azure ibm cloud gcp cloud sale
Account Manager,Account Manager,"Account Manager - JD

Job brief

We are looking for a talented Digital Account Manager to join our team. You will manage our client
portfolio to help our clients improve their brand presence.
As a Digital Account Manager, you should have solid experience in client servicing. You should also
clearly understand how digital tools add value to company strategy and performance. Ultimately, you
should be able to contribute to business growth through creating and maintaining long-term client
relationships with digital marketing strategies, and planning, and they executed on time.

Responsibilities

- Act as the point of contact for clients for digital management matters
- Build strong, long-term client relationships and maintain frequent contact in regards to the project
deliveries
- Set digital strategies for your assigned customers, considering their specific requirements
- Suggest, design, and implement digital projects to increase customer ROI
- Address client queries effectively and in a timely manner
- Get optimized web content to increase traffic and improve SEO rankings
- Present social media strategies to clients
- Report on web performance metrics along with social media & google ads
- Analyze digital campaigns' success
- Stay up-to-date with digital technology trends
- On-time calendars
- Daily, Weekly & Monthly updates to the clients & internal teams

Requirements

- Proven work experience as a Digital Account Manager/ Social Media Manager
- In-depth understanding of online marketing tools and social media platforms
- Experience with customer service and account management
- Excellent verbal and written communication skills
- Strong analytical skills
- Attention to detail
- Interpersonal skills
- BSc degree in Marketing or relevant field","{""Account Planning profile"",""client servicing"",""online marketing tools and social media platforms""}",{Hyderabad},JDAM8950,active,Medium,INR,Work from Office,Permanent,account manager jd job brief looking talented digital account manager join team manage client portfolio help client improve brand presence digital account manager solid experience client servicing also clearly understand digital tool add value company strategy performance ultimately able contribute business growth creating maintaining client relationship digital marketing strategy planning executed time responsibility act point contact client digital management matter build strong client relationship maintain frequent contact regard project delivery set digital strategy assigned customer considering specific requirement suggest design implement digital project increase customer roi address client query effectively timely manner get optimized web content increase traffic improve seo ranking present social medium strategy client report web performance metric along social medium google ad analyze digital campaign success stay digital technology trend calendar daily weekly monthly update client internal team requirement proven work experience digital account social medium manager understanding online marketing tool social medium platform experience customer service account management excellent verbal written communication skill strong analytical skill attention detail interpersonal skill bsc degree marketing relevant field account planning profile client servicing online marketing tool social medium platform
AP Sr Lead/AM,AP Sr Lead/AM,"Job Description EXP: 6-9 Yrs  SHIFT: Rotational  ROLE:  6-9 Yrs in Accounts Payable domain. Manage a team of approx. 10 - 15 members and ensure that all key metrics of performance as per the Client SLA are met and exceeded. Be actively involved in client calls and ensure updates are communicated to the team Real- time queue management Manage and strengthen Client Relationship Act as the first level of escalations and resolve all people issues within the team through regular feedback, one-to-one sessions and team meetings or calibrations Manage team performance and responsible for the overall development of the team Institute creative and innovative rewards and recognition activities for enhancing team performance and motivation; foster career advancement of the team members within the project or lateral movement In this role, you need to analyze and solve moderately complex problems You will typically be creating new solutions, leveraging and, where needed, adapting existing methods an","{""Accounts Payable""}",{Bangalore},JDAS1207,Active,High,INR,Work from Office,Permanent,job description exp yr shift rotational role yr account payable domain manage team approx member ensure key metric performance per client sla met exceeded actively involved client call ensure update communicated team time queue management manage strengthen client relationship act first level escalation resolve people issue within team regular feedback session team meeting calibration manage team performance responsible overall development team institute creative innovative reward recognition activity enhancing team performance motivation foster career advancement team member within project lateral movement role need analyze solve moderately complex problem typically creating new solution leveraging needed adapting existing method account payable
Azure Solution Architect,Azure Solution Architect,"• Architecting and designing solutions that meet the functional and non-functional requirements  • Create and review architecture and solution design artifacts  • Provide technical direction and lead a group of one or more architects addressing a common goal.  • Enforce adherence to architectural standards and principles, globally followed product-specific guidelines, usability design standards, etc.  • Ability to analyze and operate at various levels of abstraction  • Ensure suitable sizing of solutions, technology fit, and DR are assessed and accounted for.  • Keep abreast of emerging technology/industry trends in the cloud and Define new patterns and standards as required.  • Drive, Plan and Develop blueprints and deliverables that help customers in advancing their Azure Cloud capabilities, involving both new solutions and migration of existing solutions  • Collaborate and Guide other team members to design and develop end-to-end processes aligning with the defined architecture.  • ","{Azure,Architect}",{Bengaluru},JDAS5563,Active,High,INR,Work from Office,Permanent,architecting designing solution meet functional requirement create review architecture solution design artifact provide technical direction lead group one architect addressing common goal enforce adherence architectural standard principle globally followed guideline usability design standard etc ability analyze operate various level abstraction ensure suitable sizing solution technology fit dr assessed accounted keep abreast emerging trend cloud define new pattern standard required drive plan develop blueprint deliverable help customer advancing azure cloud capability involving new solution migration existing solution collaborate guide team member design develop process aligning defined architecture azure architect
Billing & Collections Sr Associate,Billing & Collections Sr Associate,"Shift timings: 3 PM to 12 Midnights

WORK FROM OFFICE

Total experience required: 5 to 6 years.

SEMI VOICE PROCESS – Please ensure communication is screened thoroughly before processing

BUDGET – Max 8 LPA

Notice Period – Max 15 days

 

Key Responsibilities

•             Providing customer service regarding collection issues, process customer refunds, process and review account adjustments, resolve client discrepancies and short payments. Responsible for monitoring and maintaining assigned accounts- Customer calls, account adjustments, small balance write off, customer reconciliations and processing credit memos.

•             Accountable for reducing delinquency for assigned accounts.

•             Perform other assigned tasks and duties necessary to support the Accounts Receivable Department.

•             Establish and maintain effective and cooperative working relationships with Billing and cash applications team.

Essential Functions

•             Weekly and monthly reporting to direct supervisor

•             Monthly Delinquency notices

•             Processing monthly credit memos and the appropriate reporting

•             High volume phone calls to assigned delinquent customers

•             Reconcile customer disputes as they pertain to payment of outstanding balances that are due

•             Internal and External customer interface

•             Participate in team planning meetings

•             Meet defined department goals and activity metrics

 

Mandatory skills: 

•             Knowledge of Credit Management and Collections procedures

•             Experience with Oracle JDE a plus

•             Commitment to excellent customer service

•             Excellent written and verbal communication abilities

•             Ability to prioritize and manage multiple responsibilities","{""Billing and Collections"",""CREDIT MANAGEMENT""}",{Bangalore},JDB&3041,active,Hot,INR,Work from Office,Permanent,shift timing pm midnight work office total experience required year semi voice process please ensure communication screened thoroughly processing budget max lpa notice period max day key responsibility providing customer service regarding collection issue process customer refund process review account adjustment resolve client discrepancy short payment responsible monitoring maintaining assigned customer call account adjustment small balance write customer reconciliation processing credit memo accountable reducing delinquency assigned account perform assigned task duty necessary support account receivable department establish maintain effective cooperative working relationship billing cash application team essential function weekly monthly reporting direct supervisor monthly delinquency notice processing monthly credit memo appropriate reporting high volume phone call assigned delinquent customer reconcile customer dispute pertain payment outstanding balance due internal external customer interface participate team planning meeting meet defined department goal activity metric mandatory skill knowledge credit management collection procedure experience oracle jde plus commitment excellent customer service excellent written verbal communication ability ability prioritize manage multiple responsibility billing collection credit management
